"","State","Year","Political_Party","New_Policies","Total_Energy","NonRenewable_Energy","NonRenewable_Percent","Renewable_Energy","Renewable_Percent"
"1","AK",2000,"Democrat",2,735260,729686,99,5574,1
"2","AK",2001,"Democrat",0,726418,718299,99,8119,1
"3","AK",2002,"Republican (2nd Gov. mid-year)",0,723166,714640,99,8526,1
"4","AK",2003,"Republican",0,722838,713864,99,8974,1
"5","AK",2004,"Republican",0,765107,756143,99,8964,1
"6","AK",2005,"Republican",1,788012,781792,99,6220,1
"7","AK",2006,"Republican",3,738306,732976,99,5330,1
"8","AK",2007,"Republican",0,714615,708941,99,5674,1
"9","AK",2008,"Republican",1,642737,637374,99,5363,1
"10","AK",2009,"Republican",1,631141,623903,99,7238,1
"11","AK",2010,"Republican",2,629323,621530,99,7793,1
"12","AK",2011,"Republican",1,631768,624245,99,7523,1
"13","AK",2012,"Republican",0,620717,612763,99,7954,1
"14","AK",2013,"Republican",0,587689,578749,98,8940,2
"15","AK",2014,"Independent (2nd Gov. mid-year)",1,585727,574204,98,11523,2
"16","AK",2015,"Independent",0,603471,589945,98,13526,2
"17","AK",2016,"Independent",0,582349,567978,98,14371,2
"18","AK",2017,"Independent",0,590557,577421,98,13136,2
"19","AK",2018,"Independent",0,593777,580083,98,13694,2
"20","AL",2000,"Democrat",1,2065056,1841249,89,223807,11
"21","AL",2001,"Democrat",0,1859587,1664579,90,195008,10
"22","AL",2002,"Democrat",0,1920029,1726083,90,193946,10
"23","AL",2003,"Republican (2nd Gov. mid-year)",0,1897040,1697326,89,199714,11
"24","AL",2004,"Republican",0,2017765,1794658,89,223107,11
"25","AL",2005,"Republican",0,2018912,1805744,89,213168,11
"26","AL",2006,"Republican",5,2050932,1831170,89,219762,11
"27","AL",2007,"Republican",0,2067485,1864738,90,202747,10
"28","AL",2008,"Republican",0,1976589,1778241,90,198348,10
"29","AL",2009,"Republican",0,1749863,1555023,89,194840,11
"30","AL",2010,"Republican",0,1906324,1695389,89,210935,11
"31","AL",2011,"Republican",0,1882660,1658640,88,224020,12
"32","AL",2012,"Republican",0,1863224,1643085,88,220139,12
"33","AL",2013,"Republican",0,1882183,1625135,86,257048,14
"34","AL",2014,"Republican",0,1930039,1693896,88,236143,12
"35","AL",2015,"Republican",2,1880980,1655592,88,225388,12
"36","AL",2016,"Republican",2,1895651,1678131,89,217520,11
"37","AL",2017,"Republican",0,1867860,1637973,88,229887,12
"38","AR",2000,"Republican",0,1124742,1032202,92,92540,8
"39","AR",2001,"Republican",1,1078834,1002449,93,76385,7
