"","State","Year","Total_Energy","NonRenewable_Energy","Perc_NonRenewable_Energy","Renewable_Energy","Perc_Renewable_Energy"
"1","AK","1960",59303,54633,92,4670,8
"2","AK","1961",70020,64860,93,5160,7
"3","AK","1962",76642,71359,93,5283,7
"4","AK","1963",78488,72995,93,5493,7
"5","AK","1964",82793,76965,93,5828,7
"6","AK","1965",85319,79262,93,6057,7
"7","AK","1966",100481,94367,94,6114,6
"8","AK","1967",112625,106715,95,5910,5
"9","AK","1968",119992,114046,95,5946,5
"10","AK","1969",154232,148176,96,6056,4
"11","AK","1970",179470,173203,97,6267,3
"12","AK","1971",198395,191869,97,6526,3
"13","AK","1972",211964,205703,97,6261,3
"14","AK","1973",194968,189121,97,5847,3
"15","AK","1974",199194,193159,97,6035,3
"16","AK","1975",229676,223564,97,6112,3
"17","AK","1976",251979,245447,97,6532,3
"18","AK","1977",289893,282040,97,7853,3
"19","AK","1978",320731,313201,98,7530,2
"20","AK","1979",296592,289042,97,7550,3
"21","AK","1980",291985,287423,98,4562,2
"22","AK","1981",275504,270444,98,5060,2
"23","AK","1982",405103,400312,99,4791,1
"24","AK","1983",433409,428036,99,5373,1
"25","AK","1984",478019,471737,99,6282,1
"26","AK","1985",469166,462646,99,6520,1
"27","AK","1986",498563,493544,99,5019,1
"28","AK","1987",493105,487208,99,5897,1
"29","AK","1988",514932,508637,99,6295,1
"30","AK","1989",570067,557850,98,12217,2
"31","AK","1990",577270,565725,98,11545,2
"32","AK","1991",596366,585303,98,11063,2
"33","AK","1992",620875,608937,98,11938,2
"34","AK","1993",614626,603062,98,11564,2
"35","AK","1994",613753,599452,98,14301,2
"36","AK","1995",694594,680919,98,13675,2
"37","AK","1996",709979,696834,98,13145,2
"38","AK","1997",701267,693158,99,8109,1
"39","AK","1998",715652,709568,99,6084,1
"40","AK","1999",719766,714726,99,5040,1
"41","AK","2000",735260,729686,99,5574,1
"42","AK","2001",726418,718299,99,8119,1
"43","AK","2002",723166,714640,99,8526,1
"44","AK","2003",722838,713864,99,8974,1
"45","AK","2004",765107,756143,99,8964,1
"46","AK","2005",788012,781792,99,6220,1
"47","AK","2006",738306,732976,99,5330,1
"48","AK","2007",714615,708941,99,5674,1
"49","AK","2008",642737,637374,99,5363,1
"50","AK","2009",631141,623903,99,7238,1
"51","AK","2010",629323,621530,99,7793,1
"52","AK","2011",631768,624245,99,7523,1
"53","AK","2012",620717,612763,99,7954,1
"54","AK","2013",587689,578749,98,8940,2
"55","AK","2014",585727,574204,98,11523,2
"56","AK","2015",603471,589945,98,13526,2
"57","AK","2016",582349,567978,98,14371,2
"58","AK","2017",590557,577421,98,13136,2
"59","AK","2018",593777,580083,98,13694,2
"60","AK","2019",595801,582849,98,12952,2
"61","AK","2020",626207,616450,98,9757,2
"62","AK","2021",684975,675378,99,9597,1
"63","AK","2022",730277,719867,99,10410,1
"64","AK","2023",746978,736891,99,10087,1
"65","AL","1960",842283,775316,92,66967,8
"66","AL","1961",806682,737492,91,69190,9
"67","AL","1962",853424,781740,92,71684,8
"68","AL","1963",885811,818264,92,67547,8
"69","AL","1964",949411,873180,92,76231,8
"70","AL","1965",1011125,939249,93,71876,7
"71","AL","1966",1055347,982613,93,72734,7
"72","AL","1967",1100904,1020673,93,80231,7
"73","AL","1968",1208038,1129932,94,78106,6
"74","AL","1969",1298562,1219575,94,78987,6
"75","AL","1970",1349405,1270985,94,78420,6
"76","AL","1971",1338719,1250748,93,87971,7
"77","AL","1972",1430589,1336938,93,93651,7
"78","AL","1973",1479232,1379876,93,99356,7
"79","AL","1974",1493276,1399435,94,93841,6
"80","AL","1975",1465789,1366505,93,99284,7
"81","AL","1976",1503723,1408569,94,95154,6
"82","AL","1977",1584720,1482686,94,102034,6
"83","AL","1978",1589735,1496244,94,93491,6
"84","AL","1979",1600732,1492367,93,108365,7
"85","AL","1980",1597446,1424312,89,173134,11
"86","AL","1981",1560204,1389361,89,170843,11
"87","AL","1982",1450995,1261016,87,189979,13
"88","AL","1983",1395242,1192425,85,202817,15
"89","AL","1984",1493906,1281666,86,212240,14
"90","AL","1985",1475311,1275120,86,200191,14
"91","AL","1986",1458334,1279484,88,178850,12
"92","AL","1987",1541794,1360642,88,181152,12
"93","AL","1988",1616129,1436740,89,179389,11
"94","AL","1989",1638956,1426938,87,212018,13
"95","AL","1990",1599432,1418607,89,180825,11
"96","AL","1991",1618216,1436576,89,181640,11
"97","AL","1992",1691870,1505373,89,186497,11
"98","AL","1993",1744734,1537529,88,207205,12
"99","AL","1994",1822330,1567235,86,255095,14
"100","AL","1995",1907458,1650902,87,256556,13
"101","AL","1996",1935016,1688071,87,246945,13
"102","AL","1997",1903449,1681781,88,221668,12
"103","AL","1998",1946380,1700713,87,245667,13
"104","AL","1999",2002228,1764870,88,237358,12
"105","AL","2000",2065056,1841249,89,223807,11
"106","AL","2001",1859587,1664579,90,195008,10
"107","AL","2002",1920029,1726083,90,193946,10
"108","AL","2003",1897040,1697326,89,199714,11
"109","AL","2004",2017765,1794658,89,223107,11
"110","AL","2005",2018912,1805744,89,213168,11
"111","AL","2006",2050932,1831170,89,219762,11
"112","AL","2007",2067485,1864738,90,202747,10
"113","AL","2008",1976589,1778241,90,198348,10
"114","AL","2009",1749863,1555023,89,194840,11
"115","AL","2010",1906324,1695389,89,210935,11
"116","AL","2011",1882660,1658640,88,224020,12
"117","AL","2012",1863224,1643085,88,220139,12
"118","AL","2013",1882183,1625135,86,257048,14
"119","AL","2014",1930039,1693896,88,236143,12
"120","AL","2015",1880980,1655592,88,225388,12
"121","AL","2016",1895651,1678131,89,217520,11
"122","AL","2017",1867860,1637973,88,229887,12
"123","AL","2018",1912733,1678764,88,233969,12
"124","AL","2019",1883685,1651567,88,232118,12
"125","AL","2020",1795668,1560130,87,235538,13
"126","AL","2021",1927858,1688041,88,239817,12
"127","AL","2022",1904247,1672212,88,232035,12
"128","AL","2023",1860171,1637982,88,222189,12
