"","State","Year","New_Policies"
"1","AK","2000",2
"2","AK","2005",1
"3","AK","2006",3
"4","AK","2008",1
"5","AK","2009",1
"6","AK","2010",2
"7","AK","2011",1
"8","AK","2014",1
"9","AK","2021",3
"10","AK","2024",1
"11","AL","2000",1
"12","AL","2006",5
"13","AL","2015",2
"14","AL","2016",2
"15","AL","2020",2
"16","AL","2021",1
"17","AL","2022",1
"18","AL","2023",2
"19","AL","2024",2
"20","AL","2025",2
"21","AR","2006",3
"22","AR","2009",7
"23","AR","2010",3
"24","AR","2014",2
"25","AR","2015",2
"26","AR","2021",1
"27","AR","2023",2
"28","AR","2001",1
"29","AR","2002",1
"30","AR","2011",1
"31","AR","2013",1
"32","AR","2024",1
"33","AZ","2000",7
"34","AZ","2004",1
"35","AZ","2005",1
"36","AZ","2002",1
"37","AZ","2003",1
"38","AZ","2006",4
"39","AZ","2007",4
"40","AZ","2008",6
"41","AZ","2009",4
"42","AZ","2010",7
"43","AZ","2011",4
"44","AZ","2014",1
"45","AZ","2016",2
"46","AZ","2021",4
"47","AZ","2024",1
"48","AZ","2025",1
"49","AZ","2001",1
"50","CA","2000",11
"51","CA","2004",8
"52","CA","2006",49
"53","CA","2009",7
"54","CA","2010",4
"55","CA","2011",13
"56","CA","2012",7
"57","CA","2014",4
"58","CA","2015",3
"59","CA","2016",9
"60","CA","2019",5
"61","CA","2021",19
"62","CA","2022",5
"63","CA","2001",2
"64","CA","2002",1
"65","CA","2008",1
"66","CA","2023",3
"67","CA","2024",3
"68","CA","2018",1
"69","CO","2000",2
"70","CO","2005",2
"71","CO","2006",20
"72","CO","2007",5
"73","CO","2008",6
"74","CO","2009",6
"75","CO","2010",10
"76","CO","2011",3
"77","CO","2012",3
"78","CO","2014",5
"79","CO","2018",2
"80","CO","2021",14
"81","CO","2023",7
"82","CO","2024",4
"83","CO","2025",14
"84","CO","2001",3
"85","CO","2019",4
"86","CO","2022",2
"87","CT","2000",3
"88","CT","2004",3
"89","CT","2006",7
"90","CT","2007",4
"91","CT","2010",3
"92","CT","2011",2
"93","CT","2015",6
"94","CT","2021",5
"95","CT","2022",3
"96","CT","2023",2
"97","CT","2024",2
"98","CT","2025",1
"99","CT","2008",1
"100","CT","2012",1
"101","DC","2000",1
"102","DC","2005",2
"103","DC","2001",1
"104","DC","2004",1
"105","DC","2006",1
"106","DC","2007",1
"107","DC","2008",1
"108","DC","2010",1
"109","DC","2012",2
"110","DC","2013",1
"111","DC","2015",2
"112","DC","2019",1
"113","DC","2021",2
"114","DC","2022",1
"115","DC","2023",1
"116","DC","2025",2
"117","DE","2000",2
"118","DE","2001",2
"119","DE","2002",1
"120","DE","2005",1
"121","DE","2006",2
"122","DE","2007",5
"123","DE","2009",2
"124","DE","2010",1
"125","DE","2014",2
"126","DE","2015",4
"127","DE","2021",3
