"","State","Year","Political_Party","New_Policies","Renewable_Percent"
"1","AK",2000,"Democrat",2,1
"2","AK",2001,"Democrat",0,1
"3","AK",2002,"Republican (2nd Gov. mid-year)",0,1
"4","AK",2003,"Republican",0,1
"5","AK",2004,"Republican",0,1
"6","AK",2005,"Republican",1,1
"7","AK",2006,"Republican",3,1
"8","AK",2007,"Republican",0,1
"9","AK",2008,"Republican",1,1
"10","AK",2009,"Republican",1,1
"11","AK",2010,"Republican",2,1
"12","AK",2011,"Republican",1,1
"13","AK",2012,"Republican",0,1
"14","AK",2013,"Republican",0,2
"15","AK",2014,"Independent (2nd Gov. mid-year)",1,2
"16","AK",2015,"Independent",0,2
"17","AK",2016,"Independent",0,2
"18","AK",2017,"Independent",0,2
"19","AK",2018,"Independent",0,2
"20","AL",2000,"Democrat",1,11
"21","AL",2001,"Democrat",0,10
"22","AL",2002,"Democrat",0,10
"23","AL",2003,"Republican (2nd Gov. mid-year)",0,11
"24","AL",2004,"Republican",0,11
"25","AL",2005,"Republican",0,11
"26","AL",2006,"Republican",5,11
"27","AL",2007,"Republican",0,10
"28","AL",2008,"Republican",0,10
"29","AL",2009,"Republican",0,11
"30","AL",2010,"Republican",0,11
"31","AL",2011,"Republican",0,12
"32","AL",2012,"Republican",0,12
"33","AL",2013,"Republican",0,14
"34","AL",2014,"Republican",0,12
"35","AL",2015,"Republican",2,12
"36","AL",2016,"Republican",2,11
"37","AL",2017,"Republican",0,12
"38","AR",2000,"Republican",0,8
"39","AR",2001,"Republican",1,7
"40","AR",2002,"Republican",1,8
"41","AR",2003,"Republican",0,8
"42","AR",2004,"Republican",0,8
"43","AR",2005,"Republican",0,8
"44","AR",2006,"Republican",3,8
"45","AR",2007,"Democrat (2nd Gov. mid-year)",0,9
"46","AR",2008,"Democrat",0,9
"47","AR",2009,"Democrat",7,10
"48","AR",2010,"Democrat",3,10
"49","AR",2011,"Democrat",1,10
"50","AR",2012,"Democrat",0,10
"51","AR",2013,"Democrat",1,11
"52","AR",2014,"Democrat",2,10
"53","AR",2015,"Republican (2nd Gov. mid-year)",2,10
"54","AR",2016,"Republican",0,10
"55","AR",2017,"Republican",0,10
"56","AR",2018,"Republican",0,10
"57","AR",2019,"Republican",0,10
"58","AR",2020,"Republican",0,9
"59","AR",2021,"Republican",1,8
"60","AR",2022,"Republican",0,9
"61","AR",2023,"Republican",2,8
"62","AZ",2000,"Republican",7,4
"63","AZ",2001,"Republican",1,3
"64","AZ",2002,"Republican",1,3
"65","AZ",2003,"Democrat (2nd Gov. mid-year)",1,3
"66","AZ",2004,"Democrat (2nd Gov. mid-year)",1,3
"67","AZ",2005,"Democrat (2nd Gov. mid-year)",1,4
"68","AZ",2006,"Republican (2nd Gov. mid-year)",4,4
"69","AZ",2007,"Republican (2nd Gov. mid-year)",4,4
"70","AZ",2008,"Republican (2nd Gov. mid-year)",6,5
"71","AZ",2009,"Republican (2nd Gov. mid-year)",4,4
"72","AZ",2010,"Republican",7,4
"73","AZ",2011,"Republican",4,5
"74","AZ",2012,"Republican",0,4
"75","AZ",2013,"Republican",0,4
"76","AZ",2014,"Republican",1,5
"77","AZ",2015,"Republican",0,6
"78","AZ",2016,"Republican",2,6
"79","AZ",2017,"Republican",0,6
"80","AZ",2018,"Republican",0,6
"81","AZ",2019,"Republican",0,6
"82","AZ",2020,"Republican",0,6
"83","AZ",2021,"Republican",4,7
"84","AZ",2022,"Republican",0,7
"85","AZ",2023,"Republican",0,7
"86","CA",2000,"Democrat",11,5
"87","CA",2001,"Democrat",2,4
"88","CA",2002,"Democrat",1,5
"89","CA",2003,"Republican (2nd Gov. mid-year)",0,5
"90","CA",2004,"Republican",8,5
"91","CA",2005,"Republican",0,6
"92","CA",2006,"Republican",49,6
"93","CA",2007,"Republican",0,5
"94","CA",2008,"Republican",1,5
"95","CA",2009,"Republican",7,6
"96","CA",2010,"Republican",4,7
"97","CA",2011,"Democrat (2nd Gov. mid-year)",13,8
"98","CA",2012,"Democrat",7,7
"99","CA",2013,"Democrat",0,8
"100","CA",2014,"Democrat",4,8
"101","CA",2015,"Democrat",3,8
"102","CA",2016,"Democrat",9,9
"103","CA",2017,"Democrat",0,10
"104","CA",2018,"Democrat",1,9
"105","CA",2019,"Democrat",5,11
"106","CO",2000,"Republican",2,2
"107","CO",2001,"Republican",3,1
"108","CO",2002,"Republican",0,1
"109","CO",2003,"Republican",0,1
"110","CO",2004,"Republican",0,1
"111","CO",2005,"Republican",2,1
"112","CO",2006,"Republican",20,2
"113","CO",2007,"Democrat (2nd Gov. mid-year)",5,2
"114","CO",2008,"Democrat",6,3
"115","CO",2009,"Democrat",6,3
"116","CO",2010,"Democrat",10,3
"117","CO",2011,"Democrat",3,4
"118","CO",2012,"Democrat",3,4
"119","CO",2013,"Democrat",0,5
"120","CO",2014,"Democrat",5,5
"121","CO",2015,"Democrat",0,5
"122","CO",2016,"Democrat",0,6
"123","CO",2017,"Democrat",0,6
"124","CO",2018,"Democrat",2,6
"125","CO",2019,"Democrat",4,7
"126","CT",2000,"Republican",3,6
"127","CT",2001,"Republican",0,3
"128","CT",2002,"Republican",0,3
"129","CT",2003,"Republican",0,3
"130","CT",2004,"Republican",3,4
"131","CT",2005,"Republican",0,3
"132","CT",2006,"Republican",7,4
"133","CT",2007,"Republican",4,4
"134","CT",2008,"Republican",1,4
"135","CT",2009,"Republican",0,5
"136","CT",2010,"Republican",3,5
"137","CT",2011,"Democrat (2nd Gov. mid-year)",2,5
"138","CT",2012,"Democrat",1,5
"139","CT",2013,"Democrat",0,5
"140","CT",2014,"Democrat",0,6
"141","CT",2015,"Democrat",6,6
"142","CT",2016,"Democrat",0,7
"143","CT",2017,"Democrat",0,6
"144","CT",2018,"Democrat",0,6
"145","CT",2019,"Democrat",0,6
"146","DE",2000,"Democrat",2,1
"147","DE",2001,"Democrat",2,0
"148","DE",2002,"Democrat",1,0
"149","DE",2003,"Democrat",0,0
"150","DE",2004,"Democrat",0,1
"151","DE",2005,"Democrat",1,1
"152","DE",2006,"Democrat",2,1
"153","DE",2007,"Democrat",5,2
"154","DE",2008,"Democrat",0,2
"155","DE",2009,"Democrat",2,3
"156","DE",2010,"Democrat",1,3
"157","DE",2011,"Democrat",0,3
"158","DE",2012,"Democrat",0,2
"159","DE",2013,"Democrat",0,3
"160","DE",2014,"Democrat",2,3
"161","DE",2015,"Democrat",4,2
"162","DE",2016,"Democrat",0,2
"163","DE",2017,"Democrat (2nd Gov. mid-year)",0,3
"164","DE",2018,"Democrat",0,2
"165","DE",2019,"Democrat",0,3
"166","DE",2020,"Democrat",0,3
"167","DE",2021,"Democrat",3,3
"168","DE",2022,"Democrat",3,3
"169","DE",2023,"Democrat",2,3
"170","FL",2000,"Republican",5,5
"171","FL",2001,"Republican",2,4
"172","FL",2002,"Republican",0,4
"173","FL",2003,"Republican",1,4
"174","FL",2004,"Republican",0,4
"175","FL",2005,"Republican",0,4
"176","FL",2006,"Republican",8,4
"177","FL",2007,"Republican",3,5
"178","FL",2008,"Republican",9,6
"179","FL",2009,"Republican",11,7
"180","FL",2010,"Republican",5,7
"181","FL",2011,"Republican",5,7
"182","FL",2012,"Republican",3,7
"183","FL",2013,"Republican",3,7
"184","FL",2014,"Republican",0,7
"185","FL",2015,"Republican",1,7
"186","FL",2016,"Republican",6,7
"187","FL",2017,"Republican",0,7
"188","FL",2018,"Republican",1,7
"189","FL",2019,"Republican",0,7
"190","GA",2000,"Democrat",1,7
"191","GA",2001,"Democrat",1,6
"192","GA",2002,"Democrat",0,9
"193","GA",2003,"Republican (2nd Gov. mid-year)",2,7
"194","GA",2004,"Republican",0,7
"195","GA",2005,"Republican",0,6
"196","GA",2006,"Republican",12,6
"197","GA",2007,"Republican",0,6
"198","GA",2008,"Republican",3,6
"199","GA",2009,"Republican",1,7
"200","GA",2010,"Republican",1,7
"201","GA",2011,"Republican",1,8
"202","GA",2012,"Republican",1,8
"203","GA",2013,"Republican",0,9
"204","GA",2014,"Republican",0,10
"205","GA",2015,"Republican",1,10
"206","GA",2016,"Republican",0,9
"207","GA",2017,"Republican",0,9
"208","GA",2018,"Republican",1,9
"209","GA",2019,"Republican",0,10
"210","HI",2000,"Democrat",5,7
"211","HI",2001,"Democrat",4,4
"212","HI",2002,"Republican (2nd Gov. mid-year)",0,3
"213","HI",2003,"Republican",2,4
"214","HI",2004,"Republican",0,4
"215","HI",2005,"Republican",0,4
"216","HI",2006,"Republican",5,4
"217","HI",2007,"Republican",0,4
"218","HI",2008,"Republican",3,6
"219","HI",2009,"Republican",2,6
"220","HI",2010,"Democrat (2nd Gov. mid-year)",2,5
"221","HI",2011,"Democrat",1,5
"222","HI",2012,"Democrat",1,5
"223","HI",2013,"Democrat",1,6
"224","HI",2014,"Democrat (2nd Gov. mid-year)",0,6
"225","HI",2015,"Democrat",0,7
"226","HI",2016,"Democrat",0,7
"227","HI",2017,"Democrat",0,6
"228","HI",2018,"Democrat",0,6
"229","HI",2019,"Democrat",0,6
"230","HI",2020,"Democrat",0,8
"231","HI",2021,"Democrat",2,8
"232","HI",2022,"Democrat",1,8
"233","IA",2000,"Democrat",7,6
"234","IA",2001,"Democrat",1,6
"235","IA",2002,"Democrat",0,6
"236","IA",2003,"Democrat",2,7
"237","IA",2004,"Democrat",0,8
