Name,State/Territory,Category,Policy/Incentive Type,Created,Last Updated
Alaska Solar Easements,AK,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,11/05/2023
Power Project Loan Fund,AK,Financial Incentive,Loan Program,01/01/2000,10/09/2024
Golden Valley Electric Association - Sustainable Natural Alternative Power (SNAP) Program,AK,Financial Incentive,Performance-Based Incentive,12/13/2005,03/21/2025
Energy Efficiency Interest Rate Reduction Program,AK,Financial Incentive,Loan Program,05/18/2006,07/30/2025
Association Loan Program,AK,Financial Incentive,Loan Program,05/18/2006,07/30/2025
Building Energy Code,AK,Regulatory Policy,Building Energy Code,08/01/2006,06/18/2023
Renewable Energy Grant Program,AK,Financial Incentive,Grant Program,09/23/2008,12/12/2024
Net Metering,AK,Regulatory Policy,Net Metering,10/22/2009,03/21/2025
Energy Efficiency Revolving Loan Fund Program,AK,Financial Incentive,Loan Program,11/11/2010,07/30/2025
Local Option - Property Tax Exemption for Renewable Energy Systems,AK,Financial Incentive,Property Tax Incentive,11/11/2010,03/21/2025
Interconnection Guidelines,AK,Regulatory Policy,Interconnection,05/13/2011,06/10/2024
Weatherization Program,AK,Financial Incentive,Grant Program,11/17/2014,07/15/2022
Alaska Power and Telephone - AMP-UP Program,AK,Financial Incentive,Rebate Program,07/01/2021,06/10/2025
Chugach Electric - Residential EV Charging Program,AK,Financial Incentive,Rebate Program,07/01/2021,06/09/2025
Chugach Electric - Commercial EV Charging Program,AK,Financial Incentive,Rebate Program,07/01/2021,06/09/2025
Alaska - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,AK,Financial Incentive,Grant Program,06/28/2024,06/28/2024
Wood-Burning Heating System Deduction,AL,Financial Incentive,Personal Tax Deduction,01/01/2000,01/02/2025
Building Energy Code,AL,Regulatory Policy,Building Energy Code,07/21/2006,03/10/2023
Central Alabama Electric Cooperative - Residential Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,08/17/2006,06/17/2025
Dixie Electric Cooperative - Residential Energy Efficiency Loan Program,AL,Financial Incentive,Loan Program,08/17/2006,07/10/2025
Dixie Electric Cooperative - Residential Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,08/17/2006,09/04/2025
South Alabama Electric Cooperative - Residential Energy Efficiency Loan Program,AL,Financial Incentive,Loan Program,08/18/2006,07/08/2025
TVA - Residential Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,03/05/2015,10/01/2025
Alabama Commercial PACE financing program,AL,Financial Incentive,PACE Financing,07/08/2015,01/03/2024
Voluntary Green Building Standards for Public Buildings,AL,Regulatory Policy,Energy Standards for Public Buildings,02/01/2016,06/23/2024
Local Option - Property Tax Exemption for Renewable Energy Facilities,AL,Financial Incentive,Property Tax Incentive,11/16/2016,01/02/2025
TVA - Commercial Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,06/02/2020,09/11/2025
Central Alabama Electric Cooperative - Residential Energy Efficiency Loan Program,AL,Financial Incentive,Loan Program,07/31/2020,07/01/2024
Electric Vehicle Charging Infrastructure Program,AL,Financial Incentive,Grant Program,05/18/2021,11/05/2024
Alabama Power - Smart Thermostat Reimbursement,AL,Financial Incentive,Rebate Program,12/20/2022,01/02/2025
Energy-Efficient Retrofits Program,AL,Financial Incentive,Grant Program,05/17/2023,11/07/2024
Alabama Power - Make Ready Program,AL,Financial Incentive,Rebate Program,10/05/2023,01/05/2025
Interconnection Standards,AL,Regulatory Policy,Interconnection,06/10/2024,06/10/2024
Alabama - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,AL,Financial Incentive,Grant Program,06/12/2024,06/12/2024
Alabama Power - Electric Forklift Rebate,AL,Financial Incentive,Rebate Program,01/05/2025,01/05/2025
Alabama Power - EV Home Charger Rebate,AL,Financial Incentive,Rebate Program,01/05/2025,01/05/2025
Green Building Standards for State Facilities,AR,Regulatory Policy,Energy Standards for Public Buildings,06/30/2006,07/03/2024
OGE - Commercial Energy Efficiency Rebate Programs,AR,Financial Incentive,Rebate Program,08/27/2009,08/30/2024
AEP SWEPCO - Residential Energy Efficiency Rebate Programs,AR,Financial Incentive,Rebate Program,08/27/2009,06/02/2025
Entergy Arkansas - Residential Energy Efficiency Programs,AR,Financial Incentive,Rebate Program,09/21/2009,08/15/2024
