Governor's Name,State,Time in Office,Party
Gov. Bethany Hall-Long,Delaware,2025 - 2025,Democratic
Gov. Arnold Palacios,Northern Mariana Islands,2023 - 2025,Republican
Gov. Kristi Noem,South Dakota,2023 - 2025,Republican
Gov. Kristi Noem,South Dakota,2019 - 2023,Republican
Gov. Chris Sununu,New Hampshire,2023 - 2025,Republican
Gov. Chris Sununu,New Hampshire,2021 - 2023,Republican
Gov. Chris Sununu,New Hampshire,2019 - 2021,Republican
Gov. Chris Sununu,New Hampshire,2017 - 2019,Republican
Gov. John Carney,Delaware,2021 - 2025,Democratic
Gov. John Carney,Delaware,2017 - 2021,Democratic
Gov. Jim Justice,West Virginia,2021 - 2025,Republican
Gov. Jim Justice,West Virginia,2017 - 2021,Republican
Gov. Jay Inslee,Washington,2021 - 2025,Democratic
Gov. Jay Inslee,Washington,2017 - 2021,Democratic
Gov. Jay Inslee,Washington,2013 - 2017,Democratic
Gov. Eric Holcomb,Indiana,2021 - 2025,Republican
Gov. Eric Holcomb,Indiana,2017 - 2021,Republican
Gov. Mike Parson,Missouri,2021 - 2025,Republican
Gov. Mike Parson,Missouri,2018 - 2021,Republican
Gov. Lemanu P. S. Mauga,American Samoa,2021 - 2025,Democratic
Gov. Pedro Pierluisi,Puerto Rico,2021 - 2025,Democratic
Gov. Roy Cooper,North Carolina,2021 - 2025,Democratic
Gov. Roy Cooper,North Carolina,2017 - 2020,Democratic
Gov. Doug Burgum,North Dakota,2020 - 2024,Republican
Gov. Doug Burgum,North Dakota,2016 - 2020,Republican
Gov. John Bel Edwards,Louisiana,2020 - 2024,Democratic
Gov. John Bel Edwards,Louisiana,2016 - 2020,Democratic
Gov. Wanda Vázquez Garced,Puerto Rico,2019 - 2021,New Progressive
Gov. Larry Hogan,Maryland,2019 - 2023,Republican
Gov. Larry Hogan,Maryland,2015 - 2019,Republican
Gov. Asa Hutchinson,Arkansas,2019 - 2023,Republican
Gov. Asa Hutchinson,Arkansas,2015 - 2019,Republican
Gov. Tom Wolf,Pennsylvania,2019 - 2023,Democratic
Gov. Tom Wolf,Pennsylvania,2015 - 2019,Democratic
Gov. Kate Brown,Oregon,2019 - 2023,Democratic
Gov. Kate Brown,Oregon,2015 - 2019,Democratic
Gov. Ralph Deleon Guerrero Torres,Northern Mariana Islands,2019 - 2023,Republican
Gov. Ralph Deleon Guerrero Torres,Northern Mariana Islands,2015 - 2019,Republican
Gov. Doug Ducey,Arizona,2019 - 2023,Republican
Gov. Doug Ducey,Arizona,2015 - 2019,Republican
Gov. Steve Sisolak,Nevada,2019 - 2023,Democratic
Gov. Pete Ricketts,Nebraska,2019 - 2023,Republican
Gov. Pete Ricketts,Nebraska,2015 - 2019,Republican
Gov. Charlie Baker,Massachusetts,2019 - 2023,Republican
Gov. Charlie Baker,Massachusetts,2015 - 2019,Republican
Gov. Gina Raimondo,Rhode Island,2019 - 2021,Democratic
Gov. Gina Raimondo,Rhode Island,2015 - 2018,Democratic
Gov. Andrew Cuomo,New York,2019 - 2021,Democratic
Gov. Andrew Cuomo,New York,2015 - 2018,Democratic
Gov. Andrew Cuomo,New York,2011 - 2014,Democratic
Gov. David Ige,Hawaii,2018 - 2022,Democratic
Gov. David Ige,Hawaii,2014 - 2018,Democratic
