State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AK,"59,303","70,020","76,642","78,488","82,793","85,319","100,481","112,625","119,992","154,232","179,470","198,395","211,964","194,968","199,194","229,676","251,979","289,893","320,731","296,592","291,985","275,504","405,103","433,409","478,019","469,166","498,563","493,105","514,932","570,067","577,270","596,366","620,875","614,626","613,753","694,594","709,979","701,267","715,652","719,766","735,260","726,418","723,166","722,838","765,107","788,012","738,306","714,615","642,737","631,141","629,323","631,768","620,717","587,689","585,727","603,471","582,349","590,557","593,777","595,801","626,207","684,975","730,277","746,978"
AL,"842,283","806,682","853,424","885,811","949,411","1,011,125","1,055,347","1,100,904","1,208,038","1,298,562","1,349,405","1,338,719","1,430,589","1,479,232","1,493,276","1,465,789","1,503,723","1,584,720","1,589,735","1,600,732","1,597,446","1,560,204","1,450,995","1,395,242","1,493,906","1,475,311","1,458,334","1,541,794","1,616,129","1,638,956","1,599,432","1,618,216","1,691,870","1,744,734","1,822,330","1,907,458","1,935,016","1,903,449","1,946,380","2,002,228","2,065,056","1,859,587","1,920,029","1,897,040","2,017,765","2,018,912","2,050,932","2,067,485","1,976,589","1,749,863","1,906,324","1,882,660","1,863,224","1,882,183","1,930,039","1,880,980","1,895,651","1,867,860","1,912,733","1,883,685","1,795,668","1,927,858","1,904,247","1,860,171"
AR,"417,153","423,192","446,994","474,761","515,874","515,759","553,146","581,814","620,382","664,066","691,896","682,389","725,860","801,202","777,116","763,584","818,585","867,684","863,565","849,130","834,372","801,407","768,781","770,586","774,080","768,517","739,016","718,177","801,908","863,033","829,674","818,074","847,533","912,973","951,014","1,002,777","1,025,669","1,039,783","1,061,551","1,083,254","1,124,742","1,078,834","1,095,219","1,083,763","1,069,229","1,094,815","1,103,064","1,108,782","1,082,215","1,019,337","1,108,861","1,114,972","1,064,636","1,092,194","1,108,392","1,043,382","1,036,535","1,043,618","1,102,555","1,077,563","1,012,312","1,057,206","1,058,036","1,049,897"
AZ,"273,431","294,660","313,581","337,213","357,961","362,858","390,820","400,280","442,172","481,370","502,886","534,558","595,492","648,638","650,824","634,126","667,849","720,003","724,401","761,540","729,272","762,578","717,832","726,638","772,368","813,921","822,415","838,472","881,963","912,149","912,983","923,446","954,555","968,200","1,020,281","1,051,644","1,112,722","1,125,743","1,185,968","1,235,022","1,289,942","1,302,269","1,298,175","1,319,572","1,372,363","1,411,695","1,457,800","1,466,903","1,433,406","1,351,254","1,404,430","1,430,525","1,405,648","1,422,635","1,424,922","1,443,936","1,465,473","1,465,780","1,477,247","1,495,891","1,439,270","1,482,635","1,512,022","1,526,567"
CA,"3,360,697","3,513,822","3,623,382","3,825,677","4,112,125","4,267,121","4,525,141","4,703,411","4,979,463","5,206,803","5,349,033","5,585,821","5,709,669","5,890,331","5,651,469","5,852,102","6,017,642","6,232,973","6,313,568","6,565,989","6,383,232","6,183,021","5,899,763","5,907,152","6,351,329","6,439,167","6,335,080","6,795,178","7,018,321","7,265,036","7,120,826","7,011,231","7,020,561","6,715,658","6,974,865","6,837,236","6,926,290","7,063,176","7,331,105","7,365,674","7,504,612","7,610,078","7,595,049","7,454,129","7,835,668","7,741,970","7,785,762","7,923,319","7,748,640","7,429,624","7,269,474","7,186,089","7,072,294","7,141,028","7,053,028","7,136,949","7,136,403","7,145,251","7,292,387","7,231,426","6,432,232","6,778,725","6,855,767","6,816,746"
CO,"417,013","453,816","459,822","457,373","488,833","498,729","521,816","543,833","611,043","635,561","663,966","676,838","740,855","786,248","768,388","765,161","800,732","820,659","831,741","836,818","818,498","795,488","807,902","804,336","841,649","846,243","835,101","845,282","881,005","892,223","933,527","980,904","984,390","1,048,764","1,053,680","1,075,533","1,125,733","1,119,835","1,172,701","1,191,909","1,257,656","1,358,653","1,358,529","1,360,444","1,388,345","1,419,633","1,432,297","1,463,502","1,451,814","1,430,787","1,480,944","1,426,494","1,394,248","1,420,259","1,431,962","1,439,256","1,394,462","1,398,847","1,447,460","1,484,292","1,346,989","1,386,460","1,427,520","1,368,260"
CT,"496,298","505,953","523,254","532,247","549,692","554,317","593,831","606,150","630,827","647,335","673,492","660,770","695,699","721,282","690,428","666,939","721,053","731,889","748,555","735,534","708,289","676,092","673,204","662,588","691,613","702,339","717,725","744,352","778,584","790,516","772,489","772,348","807,110","793,436","796,851","779,891","807,830","796,695","783,855","829,664","841,087","826,501","811,464","888,123","903,011","871,777","816,420","838,749","770,340","763,039","767,391","740,235","726,431","744,609","748,682","754,318","721,597","724,034","750,341","729,892","664,819","698,947","717,542","688,978"
DC,"115,737","113,840","115,913","116,637","127,494","153,758","164,156","176,165","175,877","188,885","199,069","192,227","181,958","186,586","164,342","156,103","157,938","158,285","153,934","146,139","146,689","143,116","156,109","154,037","158,980","158,697","167,001","167,535","169,107","173,198","180,636","186,181","187,410","194,596","189,663","191,627","183,930","180,824","182,578","185,034","194,839","190,410","191,595","188,466","196,183","196,028","181,712","189,393","178,021","180,615","184,241","174,692","163,794","166,316","170,057","169,442","163,726","155,197","162,007","157,329","132,167","139,881","141,151","135,231"
DE,"153,726","147,678","158,977","169,737","169,803","180,486","188,475","182,891","201,693","213,604","213,921","216,325","226,448","240,308","222,261","212,526","223,383","223,234","220,704","239,047","236,880","190,684","181,170","191,692","214,173","209,389","210,957","222,263","229,414","235,488","251,171","254,456","260,364","265,800","261,025","262,221","271,563","271,024","271,046","283,315","303,879","290,543","304,848","300,832","287,001","297,787","285,714","291,538","288,650","255,701","263,028","281,046","279,916","276,655","276,390","280,223","276,692","274,259","292,745","291,587","263,799","281,104","275,185","268,494"
FL,"783,376","820,633","917,001","962,029","1,013,935","1,071,226","1,138,189","1,174,126","1,297,961","1,393,446","1,513,915","1,603,057","1,730,274","1,917,545","1,842,485","1,853,431","1,982,044","2,153,266","2,244,444","2,339,943","2,426,745","2,400,474","2,303,770","2,349,196","2,446,324","2,601,036","2,677,412","2,779,486","2,960,574","3,143,302","3,275,218","3,236,549","3,306,983","3,338,698","3,458,320","3,604,864","3,677,088","3,699,302","3,850,212","3,907,612","4,067,861","4,051,572","4,161,068","4,180,999","4,334,599","4,406,875","4,460,801","4,405,230","4,250,476","4,099,568","4,306,461","4,152,538","4,053,146","4,113,052","4,158,101","4,309,044","4,344,665","4,324,444","4,412,536","4,338,168","3,954,655","4,256,909","4,334,307","4,301,743"
