State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,7,10,13,17,26,45,57,67
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,138,148,148,148,153,150,146,138,134,127,113,97,82,68,54,53,62,63,64,62,65,67,71,79,81,82,205,717,"1,330","1,435","1,383","1,823","3,200","4,246"
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,250","1,281","1,278","1,278","1,272","1,259","1,230","1,189","1,108","1,033",931,795,642,500,367,239,90,94,53,53,57,65,68,75,79,81,87,179,206,836,906,"1,290","2,221","3,365","4,141"
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,470","3,617","3,659","3,723","3,791","3,833","3,841","3,857","3,788","3,708","3,568","3,339","3,075","2,865","2,747","2,632","2,467","2,544","2,634","2,879","3,029","3,436","4,524","8,337","13,277","17,693","19,718","21,605","26,670","28,624","30,137","33,221","37,795","41,092","45,356"
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,111,147,109,93,"17,785","19,289","20,277","20,584","21,181","21,515","21,606","21,631","21,111","20,635","20,022","19,125","18,469","17,815","17,284","17,238","16,771","17,543","18,727","20,299","20,748","22,602","24,908","29,584","41,442","67,394","88,805","110,181","137,566","154,475","166,707","181,068","205,221","232,908","253,676"
CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,152,165,179,186,205,214,223,226,228,226,215,204,197,190,182,189,210,247,429,549,775,"1,144","1,526","2,039","2,348","2,474","3,694","5,358","5,929","6,609","7,813","9,801","13,159","18,440"
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,65,70,74,78,133,151,185,198,230,262,258,300,362,399,450,549,646,743,828,894,933,968,"1,022","1,156","1,399","1,675","2,123","2,492","3,034","3,487","4,209","4,831","5,982","6,629"
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,5,5,7,8,27,67,81,93,106,112,110,179,245,354,449,568,678,790
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,28,28,28,28,27,26,25,23,21,18,15,13,10,8,5,8,24,31,50,64,151,233,385,451,475,443,527,584,648,663,709,797,"1,213"
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,119","25,584","26,362","27,532","28,530","29,387","29,925","30,258","29,982","29,625","28,968","27,909","26,769","25,655","24,705","23,956","22,914","22,983","23,146","23,588","23,114","23,969","24,856","25,873","26,639","27,556","27,890","28,347","31,409","37,166","43,110","53,587","64,491","74,750","88,219"
